Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
38.2,1,A Rashid,A Afghan,79.8 km/h,good length,going down leg.
38.1,0,A Rashid,A Afghan,81.6 km/h,good length,going down leg.
37.6,0,C Woakes,H Shahidi,115.6 km/h,full length,just outside off stump.
37.5,0,C Woakes,H Shahidi,130.6 km/h,good length,on off stump.
37.4,1,C Woakes,A Afghan,133.8 km/h,short length,on middle stump.
37.3,1,C Woakes,H Shahidi,130.8 km/h,full length,just outside off stump.
37.2,1,C Woakes,A Afghan,119.7 km/h,short length,on middle stump.
37.1,0,C Woakes,A Afghan,131.2 km/h,good length,outside off stump.
36.6,0,A Rashid,H Shahidi,78.9 km/h,good length,on middle stump.
36.5,1,A Rashid,A Afghan,81.6 km/h,short length,going down leg.
36.4,0,A Rashid,A Afghan,81.7 km/h,good length,just outside off stump.
36.3,0,A Rashid,A Afghan,75.3 km/h,good length,outside off stump.
36.2,4,A Rashid,A Afghan,79.2 km/h,good length,on leg stump.
36.1,0,A Rashid,A Afghan,82.8 km/h,good length,just outside off stump.
35.6,0,J Archer,H Shahidi,142.3 km/h,short length,just outside off stump.
35.5,4,J Archer,H Shahidi,138.5 km/h,short length,going down leg.
35.4,0,J Archer,H Shahidi,141.6 km/h,short length,just outside off stump.
35.4,1Wd,J Archer,H Shahidi,,,
35.3,0,J Archer,H Shahidi,143.2 km/h,good length,just outside off stump.
35.2,1,J Archer,A Afghan,141.7 km/h,good length,on middle stump.
35.1,2,J Archer,A Afghan,145.5 km/h,short length,just outside off stump.
34.6,4,A Rashid,H Shahidi,77.6 km/h,good length,just outside off stump.
34.5,1,A Rashid,A Afghan,77.5 km/h,good length,outside off stump.
34.4,1,A Rashid,H Shahidi,78.5 km/h,good length,just outside off stump.
34.4,3Wd,A Rashid,H Shahidi,,,
34.3,2,A Rashid,H Shahidi,84.7 km/h,short length,outside off stump.
34.2,1,A Rashid,A Afghan,80.9 km/h,short length,going down leg.
34.1,0,A Rashid,A Afghan,81.9 km/h,good length,outside off stump.
33.6,1,J Archer,A Afghan,139.4 km/h,short length,just outside off stump.
33.5,0,J Archer,A Afghan,145.7 km/h,short length,outside off stump.
33.4,0,J Archer,A Afghan,141.3 km/h,short length,just outside off stump.
33.3,4,J Archer,A Afghan,138.7 km/h,short length,outside off stump.
33.2,0,J Archer,A Afghan,133.3 km/h,short length,on off stump.
33.1,2,J Archer,A Afghan,136.1 km/h,short length,outside off stump.
32.6,6,A Rashid,H Shahidi,78.3 km/h,good length,outside off stump.
32.5,0,A Rashid,H Shahidi,80.4 km/h,good length,just outside off stump.
32.4,1,A Rashid,A Afghan,80.0 km/h,good length,outside off stump.
32.3,6,A Rashid,A Afghan,78.8 km/h,good length,just outside off stump.
32.2,0,A Rashid,A Afghan,79.0 km/h,good length,just outside off stump.
32.1,0,A Rashid,A Afghan,77.6 km/h,good length,outside off stump.
31.6,0,M Wood,H Shahidi,140.3 km/h,short length,just outside off stump.
31.5,6,M Wood,H Shahidi,143.0 km/h,short length,outside off stump.
31.4,2,M Wood,H Shahidi,147.8 km/h,full length,on off stump.
31.3,1,M Wood,A Afghan,145.3 km/h,full length,on off stump.
31.2,1,M Wood,H Shahidi,141.4 km/h,short length,outside off stump.
31.1,4,M Wood,H Shahidi,146.5 km/h,short length,on leg stump.
30.6,0,A Rashid,A Afghan,83.4 km/h,good length,on middle stump.
30.5,0,A Rashid,A Afghan,76.1 km/h,good length,on middle stump.
30.4,0,A Rashid,A Afghan,77.7 km/h,good length,just outside off stump.
30.3,1,A Rashid,H Shahidi,73.8 km/h,good length,going down leg.
30.2,0,A Rashid,H Shahidi,76.9 km/h,good length,just outside off stump.
30.1,0,A Rashid,H Shahidi,76.5 km/h,full length,on middle stump.
29.6,1,M Wood,H Shahidi,142.7 km/h,short length,on middle stump.
29.5,0,M Wood,H Shahidi,141.3 km/h,short length,just outside off stump.
29.4,1,M Wood,A Afghan,138.9 km/h,short length,outside off stump.
29.3,0,M Wood,A Afghan,133.6 km/h,short length,on off stump.
29.2,1,M Wood,H Shahidi,144.3 km/h,good length,just outside off stump.
29.1,0,M Wood,H Shahidi,143.2 km/h,short length,on off stump.
28.6,4,A Rashid,A Afghan,79.1 km/h,short length,going down leg.
28.5,1,A Rashid,H Shahidi,80.3 km/h,good length,just outside off stump.
28.4,1,A Rashid,A Afghan,76.7 km/h,full length,outside off stump.
28.3,6,A Rashid,A Afghan,81.1 km/h,good length,just outside off stump.
28.2,0,A Rashid,A Afghan,80.5 km/h,full length,just outside off stump.
28.1,0,A Rashid,A Afghan,77.2 km/h,good length,outside off stump.
27.6,0,M Wood,H Shahidi,140.4 km/h,short length,just outside off stump.
27.5,0,M Wood,H Shahidi,144.6 km/h,short length,outside off stump.
27.4,0,M Wood,H Shahidi,146.1 km/h,full length,just outside off stump.
27.3,1,M Wood,A Afghan,139.6 km/h,short length,just outside off stump.
27.2,0,M Wood,A Afghan,141.2 km/h,short length,on off stump.
27.1,1,M Wood,H Shahidi,140.7 km/h,short length,just outside off stump.
26.6,0,A Rashid,A Afghan,79.2 km/h,good length,outside off stump.
26.5,0,A Rashid,A Afghan,78.9 km/h,good length,on middle stump.
26.4,0,A Rashid,A Afghan,80.9 km/h,good length,outside off stump.
26.3,1,A Rashid,H Shahidi,78.3 km/h,good length,on off stump.
26.2,1,A Rashid,A Afghan,76.3 km/h,good length,just outside off stump.
26.1,1,A Rashid,H Shahidi,87.3 km/h,short length,outside off stump.
25.6,0,M Wood,A Afghan,141.5 km/h,short length,just outside off stump.
25.5,0,M Wood,A Afghan,144.6 km/h,good length,on middle stump.
25.4,1,M Wood,H Shahidi,143.9 km/h,good length,outside off stump.
25.3,0,M Wood,H Shahidi,138.9 km/h,short length,on off stump.
25.2,0,M Wood,H Shahidi,141.8 km/h,short length,just outside off stump.
25.1,0,M Wood,H Shahidi,139.4 km/h,full length,just outside off stump.
24.6,0,A Rashid,A Afghan,84.5 km/h,short length,going down leg.
24.5,W,A Rashid,R Shah,74.4 km/h,full toss,just outside off stump.
24.4,0,A Rashid,R Shah,82.4 km/h,good length,on off stump.
24.3,1,A Rashid,H Shahidi,80.5 km/h,good length,just outside off stump.
24.2,0,A Rashid,H Shahidi,76.2 km/h,full length,on middle stump.
24.1,1,A Rashid,R Shah,82.7 km/h,good length,on middle stump.
23.6,1,B Stokes,R Shah,144.0 km/h,good length,just outside off stump.
23.5,0,B Stokes,R Shah,134.9 km/h,short length,on off stump.
23.4,0,B Stokes,R Shah,135.9 km/h,short length,just outside off stump.
23.3,0,B Stokes,R Shah,138.1 km/h,good length,just outside off stump.
23.2,1,B Stokes,H Shahidi,139.7 km/h,good length,just outside off stump.
23.1,0,B Stokes,H Shahidi,137.4 km/h,good length,just outside off stump.
22.6,0,M Ali,R Shah,85.3 km/h,good length,just outside off stump.
22.5,2,M Ali,R Shah,86.1 km/h,good length,on middle stump.
22.4,0,M Ali,R Shah,90.9 km/h,full length,on off stump.
22.3,0,M Ali,R Shah,90.6 km/h,good length,just outside off stump.
22.2,0,M Ali,R Shah,89.6 km/h,good length,outside off stump.
22.1,0,M Ali,R Shah,84.4 km/h,good length,just outside off stump.
21.6,1,B Stokes,R Shah,141.5 km/h,short length,on leg stump.
21.5,1,B Stokes,H Shahidi,143.3 km/h,full length,on middle stump.
21.4,1,B Stokes,R Shah,137.2 km/h,good length,outside off stump.
21.3,1,B Stokes,H Shahidi,135.9 km/h,good length,outside off stump.
21.2,0,B Stokes,H Shahidi,138.8 km/h,short length,just outside off stump.
21.1,0,B Stokes,H Shahidi,135.2 km/h,short length,just outside off stump.
20.6,1,M Ali,H Shahidi,92.4 km/h,full length,just outside off stump.
20.5,0,M Ali,H Shahidi,85.9 km/h,good length,outside off stump.
20.4,1,M Ali,R Shah,88.0 km/h,good length,outside off stump.
20.3,4,M Ali,R Shah,97.6 km/h,short length,going down leg.
20.2,1,M Ali,H Shahidi,86.6 km/h,good length,on middle stump.
20.1,1,M Ali,R Shah,87.8 km/h,good length,going down leg.
19.6,1,B Stokes,R Shah,136.7 km/h,short length,just outside off stump.
19.5,0,B Stokes,R Shah,138.7 km/h,good length,just outside off stump.
19.4,1,B Stokes,H Shahidi,140.7 km/h,full length,on middle stump.
19.3,0,B Stokes,H Shahidi,136.9 km/h,short length,outside off stump.
19.2,0,B Stokes,H Shahidi,139.9 km/h,short length,just outside off stump.
19.1,1,B Stokes,R Shah,139.9 km/h,good length,just outside off stump.
18.6,0,M Ali,H Shahidi,89.0 km/h,good length,on leg stump.
18.5,0,M Ali,H Shahidi,88.1 km/h,good length,on leg stump.
18.4,1,M Ali,R Shah,87.4 km/h,good length,on middle stump.
18.3,0,M Ali,R Shah,88.0 km/h,good length,on middle stump.
18.2,4,M Ali,R Shah,87.7 km/h,good length,outside off stump.
18.1,0,M Ali,R Shah,84.9 km/h,good length,on leg stump.
17.6,0,B Stokes,H Shahidi,134.9 km/h,short length,outside off stump.
17.5,0,B Stokes,H Shahidi,136.9 km/h,short length,outside off stump.
17.4,2,B Stokes,H Shahidi,135.3 km/h,good length,outside off stump.
17.3,1,B Stokes,R Shah,140.5 km/h,short length,just outside off stump.
17.2,0,B Stokes,R Shah,133.9 km/h,short length,on middle stump.
17.1,0,B Stokes,R Shah,135.3 km/h,short length,on leg stump.
16.6,0,M Ali,H Shahidi,87.8 km/h,good length,on middle stump.
16.5,1,M Ali,R Shah,87.1 km/h,full length,just outside off stump.
16.4,6,M Ali,R Shah,87.8 km/h,good length,just outside off stump.
16.3,1,M Ali,H Shahidi,86.6 km/h,good length,on leg stump.
16.2,0,M Ali,H Shahidi,86.5 km/h,good length,on middle stump.
16.1,1,M Ali,R Shah,88.2 km/h,good length,outside off stump.
15.6,0,M Wood,H Shahidi,145.6 km/h,short length,just outside off stump.
15.5,0,M Wood,H Shahidi,142.8 km/h,short length,just outside off stump.
15.4,0,M Wood,H Shahidi,144.5 km/h,good length,outside off stump.
15.3,0,M Wood,H Shahidi,145.2 km/h,good length,just outside off stump.
15.2,0,M Wood,H Shahidi,147.4 km/h,short length,just outside off stump.
15.1,0,M Wood,H Shahidi,145.6 km/h,short length,on leg stump.
14.6,1,M Ali,H Shahidi,86.8 km/h,good length,just outside off stump.
14.5,1,M Ali,R Shah,88.3 km/h,good length,outside off stump.
14.4,0,M Ali,R Shah,89.0 km/h,good length,just outside off stump.
14.3,0,M Ali,R Shah,95.0 km/h,full length,going down leg.
14.2,1,M Ali,H Shahidi,88.9 km/h,good length,going down leg.
14.1,1,M Ali,R Shah,87.3 km/h,good length,just outside off stump.
13.6,0,M Wood,H Shahidi,144.0 km/h,short length,outside off stump.
13.5,0,M Wood,H Shahidi,146.6 km/h,full length,just outside off stump.
13.4,0,M Wood,H Shahidi,145.5 km/h,short length,outside off stump.
13.4,1Wd,M Wood,H Shahidi,,,
13.3,4,M Wood,H Shahidi,145.8 km/h,full length,outside off stump.
13.2,0,M Wood,H Shahidi,141.9 km/h,short length,outside off stump.
13.1,0,M Wood,H Shahidi,144.1 km/h,good length,just outside off stump.
12.6,1,M Ali,H Shahidi,85.7 km/h,good length,on off stump.
12.5,0,M Ali,H Shahidi,85.3 km/h,good length,on leg stump.
12.4,1,M Ali,R Shah,88.9 km/h,good length,on leg stump.
12.3,1,M Ali,H Shahidi,87.6 km/h,good length,going down leg.
12.2,0,M Ali,H Shahidi,87.3 km/h,good length,on off stump.
12.1,1,M Ali,R Shah,92.2 km/h,short length,just outside off stump.
11.6,1,M Wood,R Shah,145.4 km/h,good length,on leg stump.
11.5,W,M Wood,G Naib,146.8 km/h,short length,on middle stump.
11.4,1,M Wood,R Shah,142.1 km/h,short length,on middle stump.
11.3,0,M Wood,R Shah,137.9 km/h,good length,just outside off stump.
11.2,0,M Wood,R Shah,140.6 km/h,good length,just outside off stump.
11.1,0,M Wood,R Shah,141.5 km/h,full length,on middle stump.
10.6,1,M Ali,R Shah,88.6 km/h,short length,on middle stump.
10.5,1,M Ali,G Naib,87.2 km/h,good length,on middle stump.
10.4,0,M Ali,G Naib,87.1 km/h,good length,on middle stump.
10.3,0,M Ali,G Naib,84.6 km/h,good length,on leg stump.
10.2,1,M Ali,R Shah,89.9 km/h,good length,outside off stump.
10.1,0,M Ali,R Shah,88.6 km/h,short length,going down leg.
9.6,3,J Archer,R Shah,140.1 km/h,short length,on off stump.
9.5,0,J Archer,R Shah,138.9 km/h,short length,on middle stump.
9.4,0,J Archer,R Shah,140.2 km/h,good length,outside off stump.
9.3,0,J Archer,R Shah,,,
9.2,1,J Archer,G Naib,143.5 km/h,full length,outside off stump.
9.1,0,J Archer,G Naib,145.2 km/h,good length,on off stump.
8.6,1,C Woakes,G Naib,135.3 km/h,good length,just outside off stump.
8.5,0,C Woakes,G Naib,136.6 km/h,good length,on off stump.
8.4,4,C Woakes,G Naib,132.5 km/h,short length,outside off stump.
8.3,0,C Woakes,G Naib,132.8 km/h,short length,just outside off stump.
8.2,4,C Woakes,G Naib,110.4 km/h,short length,going down leg.
8.1,0,C Woakes,G Naib,111.5 km/h,short length,on off stump.
7.6,0,J Archer,R Shah,143.3 km/h,full length,just outside off stump.
7.5,0,J Archer,R Shah,142.1 km/h,good length,on middle stump.
7.4,0,J Archer,R Shah,140.4 km/h,full length,on off stump.
7.3,0,J Archer,R Shah,,,
7.2,0,J Archer,R Shah,142.2 km/h,good length,outside off stump.
7.1,1,J Archer,G Naib,119.0 km/h,good length,going down leg.
6.6,1,C Woakes,G Naib,116.8 km/h,good length,outside off stump.
6.5,1,C Woakes,R Shah,131.7 km/h,short length,just outside off stump.
6.4,0,C Woakes,R Shah,136.5 km/h,full length,just outside off stump.
6.3,0,C Woakes,R Shah,132.3 km/h,short length,just outside off stump.
6.2,1,C Woakes,G Naib,135.7 km/h,short length,just outside off stump.
6.2,1Wd,C Woakes,G Naib,,,
6.1,2,C Woakes,G Naib,119.2 km/h,full length,on middle stump.
5.6,0,J Archer,R Shah,143.0 km/h,short length,just outside off stump.
5.5,0,J Archer,R Shah,140.0 km/h,short length,just outside off stump.
5.4,1,J Archer,G Naib,139.1 km/h,short length,going down leg.
5.3,4,J Archer,G Naib,147.1 km/h,full length,just outside off stump.
5.2,6,J Archer,G Naib,143.3 km/h,good length,just outside off stump.
5.1,4,J Archer,G Naib,138.2 km/h,short length,on off stump.
4.12,0,C Woakes,R Shah,,,
4.11,0,C Woakes,R Shah,,,
4.10,0,C Woakes,R Shah,,,
4.9,0,C Woakes,R Shah,,,
4.8,0,C Woakes,R Shah,,,
4.7,4,C Woakes,R Shah,,,
3.6,0,J Archer,G Naib,138.2 km/h,short length,just outside off stump.
3.5,0,J Archer,G Naib,140.5 km/h,good length,on off stump.
3.4,2,J Archer,G Naib,142.1 km/h,short length,going down leg.
3.3,1,J Archer,R Shah,142.8 km/h,good length,just outside off stump.
3.2,0,J Archer,R Shah,141.5 km/h,short length,just outside off stump.
3.1,0,J Archer,R Shah,140.3 km/h,short length,just outside off stump.
2.6,0,C Woakes,G Naib,140.2 km/h,good length,outside off stump.
2.5,0,C Woakes,G Naib,134.4 km/h,good length,just outside off stump.
2.4,0,C Woakes,G Naib,135.3 km/h,short length,just outside off stump.
2.3,1,C Woakes,R Shah,129.3 km/h,short length,just outside off stump.
2.2,0,C Woakes,R Shah,137.3 km/h,good length,on off stump.
2.1,1,C Woakes,G Naib,135.2 km/h,short length,just outside off stump.
1.6,0,J Archer,R Shah,142.5 km/h,good length,outside off stump.
1.5,0,J Archer,R Shah,141.5 km/h,short length,just outside off stump.
1.4,0,J Archer,R Shah,145.1 km/h,full toss,just outside off stump.
1.3,0,J Archer,R Shah,141.0 km/h,good length,just outside off stump.
1.2,W,J Archer,N Zadran,145.2 km/h,good length,outside off stump.
1.1,3,J Archer,G Naib,143.8 km/h,full length,just outside off stump.
0.6,0,C Woakes,N Zadran,134.3 km/h,short length,going down leg.
0.5,0,C Woakes,N Zadran,135.4 km/h,good length,on off stump.
0.4,0,C Woakes,N Zadran,134.2 km/h,full length,on off stump.
0.3,0,C Woakes,N Zadran,134.7 km/h,good length,on middle stump.
0.3,1Wd,C Woakes,N Zadran,,,
0.2,0,C Woakes,N Zadran,135.5 km/h,good length,on middle stump.
0.1,0,C Woakes,N Zadran,132.4 km/h,short length,outside off stump.
49.6,1,D Zadran,M Ali,139.8 km/h,full length,just outside off stump.
49.5,6,D Zadran,M Ali,133.6 km/h,full length,going down leg.
49.4,6,D Zadran,M Ali,111.8 km/h,short length,on off stump.
49.4,1Wd,D Zadran,M Ali,,,
49.3,4,D Zadran,M Ali,,,
49.2,1,D Zadran,C Woakes,124.0 km/h,short length,going down leg.
49.1,W,D Zadran,B Stokes,135.3 km/h,full toss,on leg stump.
48.6,6,R Khan,M Ali,85.3 km/h,good length,outside off stump.
48.5,1,R Khan,B Stokes,91.1 km/h,short length,on leg stump.
48.4,0,R Khan,B Stokes,88.4 km/h,good length,outside off stump.
48.3,0,R Khan,B Stokes,87.5 km/h,good length,outside off stump.
48.2,1,R Khan,M Ali,97.1 km/h,short length,just outside off stump.
48.1,6,R Khan,M Ali,81.8 km/h,full length,just outside off stump.
47.6,1,D Zadran,M Ali,119.6 km/h,short length,just outside off stump.
47.6,1Wd,D Zadran,M Ali,,,
47.5,0,D Zadran,M Ali,121.7 km/h,short length,outside off stump.
47.4,W,D Zadran,J Buttler,115.6 km/h,short length,just outside off stump.
47.3,2,D Zadran,J Buttler,137.7 km/h,full length,on off stump.
47.2,1,D Zadran,B Stokes,121.9 km/h,short length,on middle stump.
47.1,0,D Zadran,B Stokes,110.8 km/h,short length,outside off stump.
46.6,W,G Naib,E Morgan,99.5 km/h,short length,outside off stump.
46.5,6,G Naib,E Morgan,125.4 km/h,full length,just outside off stump.
46.4,W,G Naib,J Root,98.0 km/h,full length,just outside off stump.
46.3,1,G Naib,E Morgan,122.7 km/h,full length,on leg stump.
46.2,6,G Naib,E Morgan,98.7 km/h,short length,outside off stump.
46.1,6,G Naib,E Morgan,121.6 km/h,full length,just outside off stump.
45.6,0,D Zadran,J Root,137.1 km/h,short length,on middle stump.
45.5,1,D Zadran,E Morgan,115.1 km/h,full length,outside off stump.
45.4,4,D Zadran,E Morgan,123.6 km/h,short length,outside off stump.
45.3,6,D Zadran,E Morgan,136.6 km/h,full length,outside off stump.
45.2,1,D Zadran,J Root,128.2 km/h,short length,on middle stump.
45.1,4,D Zadran,J Root,132.6 km/h,full toss,outside off stump.
45.1,1Wd,D Zadran,J Root,,,
44.6,6,R Khan,E Morgan,83.9 km/h,good length,outside off stump.
44.5,2,R Khan,E Morgan,92.9 km/h,good length,outside off stump.
44.4,6,R Khan,E Morgan,87.2 km/h,good length,just outside off stump.
44.3,0,R Khan,E Morgan,91.6 km/h,good length,outside off stump.
44.2,1,R Khan,J Root,91.2 km/h,full toss,outside off stump.
44.1,6,R Khan,J Root,86.7 km/h,good length,going down leg.
43.6,2,G Naib,E Morgan,124.2 km/h,full length,just outside off stump.
43.5,1,G Naib,J Root,125.9 km/h,full toss,on leg stump.
43.4,0,G Naib,J Root,92.6 km/h,short length,just outside off stump.
43.3,1,G Naib,E Morgan,125.6 km/h,full toss,on off stump.
43.2,1,G Naib,J Root,122.0 km/h,full toss,outside off stump.
43.1,4,G Naib,J Root,119.1 km/h,short length,going down leg.
42.6,6,R Khan,E Morgan,87.3 km/h,good length,just outside off stump.
42.5,0,R Khan,E Morgan,92.2 km/h,short length,outside off stump.
42.4,6,R Khan,E Morgan,96.0 km/h,short length,going down leg.
42.3,2,R Khan,E Morgan,92.1 km/h,short length,outside off stump.
42.2,6,R Khan,E Morgan,84.5 km/h,good length,just outside off stump.
42.1,1,R Khan,J Root,92.9 km/h,short length,going down leg.
41.6,0,M Ur Rahman,E Morgan,91.0 km/h,good length,outside off stump.
41.5,0,M Ur Rahman,E Morgan,97.7 km/h,good length,on off stump.
41.4,0,M Ur Rahman,E Morgan,92.1 km/h,short length,outside off stump.
41.3,1,M Ur Rahman,J Root,96.6 km/h,good length,on middle stump.
41.2,1,M Ur Rahman,E Morgan,88.7 km/h,good length,just outside off stump.
41.1,1,M Ur Rahman,J Root,98.5 km/h,good length,outside off stump.
40.6,0,M Nabi,E Morgan,104.0 km/h,full length,on middle stump.
40.5,1,M Nabi,J Root,85.4 km/h,good length,just outside off stump.
40.4,1,M Nabi,E Morgan,106.5 km/h,full length,going down leg.
40.3,6,M Nabi,E Morgan,84.6 km/h,short length,going down leg.
40.2,6,M Nabi,E Morgan,85.1 km/h,good length,just outside off stump.
40.1,0,M Nabi,E Morgan,83.8 km/h,good length,on off stump.
39.6,1,M Ur Rahman,E Morgan,,,
39.5,1,M Ur Rahman,J Root,97.8 km/h,full length,just outside off stump.
39.4,0,M Ur Rahman,J Root,99.4 km/h,good length,on middle stump.
39.4,2Wd,M Ur Rahman,E Morgan,,,
39.3,4,M Ur Rahman,E Morgan,91.8 km/h,full length,just outside off stump.
39.2,0,M Ur Rahman,E Morgan,89.5 km/h,good length,just outside off stump.
39.1,6,M Ur Rahman,E Morgan,97.2 km/h,good length,on off stump.
38.6,0,M Nabi,J Root,80.0 km/h,good length,going down leg.
38.5,1,M Nabi,E Morgan,86.2 km/h,short length,on middle stump.
38.4,1,M Nabi,J Root,79.7 km/h,short length,on middle stump.
38.3,1,M Nabi,E Morgan,85.9 km/h,good length,just outside off stump.
38.2,0,M Nabi,E Morgan,84.6 km/h,good length,just outside off stump.
38.1,6,M Nabi,E Morgan,85.5 km/h,short length,on middle stump.
37.6,1,M Ur Rahman,E Morgan,96.4 km/h,good length,going down leg.
37.5,0,M Ur Rahman,E Morgan,89.1 km/h,short length,just outside off stump.
37.4,2,M Ur Rahman,E Morgan,98.4 km/h,good length,on middle stump.
37.3,0,M Ur Rahman,E Morgan,98.1 km/h,short length,on middle stump.
37.2,1,M Ur Rahman,J Root,95.1 km/h,good length,outside off stump.
37.1,0,M Ur Rahman,J Root,98.4 km/h,good length,outside off stump.
36.6,1,D Zadran,J Root,127.2 km/h,good length,on middle stump.
36.5,2,D Zadran,J Root,132.4 km/h,short length,just outside off stump.
36.4,4,D Zadran,J Root,126.5 km/h,short length,outside off stump.
36.3,2,D Zadran,J Root,130.7 km/h,full toss,on leg stump.
36.2,1,D Zadran,E Morgan,122.4 km/h,short length,on middle stump.
36.1,1,D Zadran,J Root,132.1 km/h,good length,outside off stump.
35.6,6,R Khan,E Morgan,96.0 km/h,short length,on middle stump.
35.5,0,R Khan,E Morgan,88.0 km/h,good length,outside off stump.
35.4,0,R Khan,E Morgan,92.2 km/h,good length,just outside off stump.
35.3,6,R Khan,E Morgan,97.2 km/h,short length,on middle stump.
35.2,4,R Khan,E Morgan,93.7 km/h,good length,on off stump.
35.1,2,R Khan,E Morgan,88.0 km/h,short length,outside off stump.
34.6,0,D Zadran,J Root,133.3 km/h,full toss,outside off stump.
34.5,2,D Zadran,J Root,130.9 km/h,short length,outside off stump.
34.4,1,D Zadran,E Morgan,118.8 km/h,good length,outside off stump.
34.3,0,D Zadran,E Morgan,122.6 km/h,good length,just outside off stump.
34.2,0,D Zadran,E Morgan,132.9 km/h,good length,on off stump.
34.1,0,D Zadran,E Morgan,135.5 km/h,full length,just outside off stump.
33.6,3,R Khan,E Morgan,88.6 km/h,good length,outside off stump.
33.5,2,R Khan,E Morgan,88.4 km/h,good length,outside off stump.
33.4,0,R Khan,E Morgan,92.0 km/h,good length,on off stump.
33.3,0,R Khan,E Morgan,90.8 km/h,good length,on middle stump.
33.2,1,R Khan,J Root,91.3 km/h,short length,on middle stump.
33.1,1,R Khan,E Morgan,84.5 km/h,full length,outside off stump.
32.6,1,M Nabi,E Morgan,77.0 km/h,good length,just outside off stump.
32.5,0,M Nabi,E Morgan,84.8 km/h,good length,on middle stump.
32.4,0,M Nabi,E Morgan,88.6 km/h,good length,going down leg.
32.3,0,M Nabi,E Morgan,86.5 km/h,good length,on off stump.
32.2,4,M Nabi,E Morgan,82.9 km/h,good length,just outside off stump.
32.1,1,M Nabi,J Root,79.8 km/h,good length,going down leg.
31.6,1,G Naib,J Root,121.8 km/h,short length,outside off stump.
31.5,0,G Naib,J Root,122.1 km/h,good length,outside off stump.
31.4,1,G Naib,E Morgan,100.4 km/h,short length,on off stump.
31.3,6,G Naib,E Morgan,121.1 km/h,full length,just outside off stump.
31.2,6,G Naib,E Morgan,95.3 km/h,short length,on leg stump.
31.2,1Nb,G Naib,E Morgan,,,
31.1,0,G Naib,E Morgan,124.5 km/h,good length,just outside off stump.
30.6,2,M Nabi,J Root,88.6 km/h,short length,just outside off stump.
30.5,1,M Nabi,E Morgan,91.8 km/h,short length,on middle stump.
30.4,0,M Nabi,E Morgan,86.8 km/h,good length,outside off stump.
30.3,0,M Nabi,E Morgan,86.2 km/h,good length,just outside off stump.
30.2,0,M Nabi,E Morgan,88.5 km/h,good length,on leg stump.
30.1,1,M Nabi,J Root,90.6 km/h,good length,outside off stump.
29.6,0,G Naib,E Morgan,123.9 km/h,good length,outside off stump.
29.5,W,G Naib,J Bairstow,95.4 km/h,short length,just outside off stump.
29.4,0,G Naib,J Bairstow,95.4 km/h,short length,outside off stump.
29.3,0,G Naib,J Bairstow,122.7 km/h,full length,on middle stump.
29.2,0,G Naib,J Bairstow,91.6 km/h,short length,on off stump.
29.1,1,G Naib,J Root,94.4 km/h,short length,outside off stump.
28.6,2,M Ur Rahman,J Bairstow,100.4 km/h,short length,on leg stump.
28.5,0,M Ur Rahman,J Bairstow,93.3 km/h,good length,just outside off stump.
28.4,1,M Ur Rahman,J Root,90.0 km/h,good length,on middle stump.
28.3,1,M Ur Rahman,J Bairstow,94.9 km/h,good length,going down leg.
28.2,1,M Ur Rahman,J Root,96.4 km/h,good length,on leg stump.
28.1,0,M Ur Rahman,J Root,92.3 km/h,good length,on off stump.
27.6,0,G Naib,J Bairstow,124.4 km/h,good length,on leg stump.
27.5,1,G Naib,J Root,119.8 km/h,good length,just outside off stump.
27.4,1,G Naib,J Bairstow,95.9 km/h,short length,on leg stump.
27.3,0,G Naib,J Bairstow,119.8 km/h,good length,on off stump.
27.2,0,G Naib,J Bairstow,124.4 km/h,good length,going down leg.
27.1,1,G Naib,J Root,120.5 km/h,good length,just outside off stump.
26.6,1,M Nabi,J Root,91.7 km/h,good length,just outside off stump.
26.5,1,M Nabi,J Bairstow,81.5 km/h,full length,on off stump.
26.4,6,M Nabi,J Bairstow,83.4 km/h,good length,outside off stump.
26.3,1,M Nabi,J Root,83.0 km/h,full toss,on middle stump.
26.2,1Lb,M Nabi,J Bairstow,,,
26.1,0,M Nabi,J Bairstow,85.2 km/h,short length,just outside off stump.
25.6,1,R Khan,J Bairstow,91.1 km/h,full length,just outside off stump.
25.5,0,R Khan,J Bairstow,89.7 km/h,good length,just outside off stump.
25.4,4,R Khan,J Bairstow,91.4 km/h,full toss,outside off stump.
25.3,0,R Khan,J Bairstow,94.9 km/h,good length,just outside off stump.
25.2,0,R Khan,J Bairstow,97.4 km/h,good length,on middle stump.
25.1,1,R Khan,J Root,86.9 km/h,full length,on middle stump.
24.6,0,M Nabi,J Bairstow,83.5 km/h,good length,just outside off stump.
24.5,4,M Nabi,J Bairstow,86.3 km/h,short length,on leg stump.
24.4,1,M Nabi,J Root,78.9 km/h,good length,just outside off stump.
24.3,0,M Nabi,J Root,81.2 km/h,good length,just outside off stump.
24.2,1,M Nabi,J Bairstow,78.2 km/h,good length,just outside off stump.
24.1,1,M Nabi,J Root,79.1 km/h,good length,going down leg.
23.6,1,R Khan,J Root,95.2 km/h,good length,on off stump.
23.5,1,R Khan,J Bairstow,95.4 km/h,short length,on middle stump.
23.4,6,R Khan,J Bairstow,92.1 km/h,full length,on middle stump.
23.3,2,R Khan,J Bairstow,93.6 km/h,good length,on middle stump.
