Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
9.1,1,J Archer,Q de Kock,145.5 km/h,short length,on off stump.
8.6,0,C Woakes,F du Plessis,133.1 km/h,good length,outside off stump.
8.5,0,C Woakes,F du Plessis,135.7 km/h,full length,on middle stump.
8.4,1,C Woakes,Q de Kock,136.3 km/h,good length,on middle stump.
8.3,1,C Woakes,F du Plessis,137.6 km/h,full length,just outside off stump.
8.2,1,C Woakes,Q de Kock,134.3 km/h,short length,going down leg.
8.1,0,C Woakes,Q de Kock,134.0 km/h,good length,on off stump.
7.6,0,J Archer,F du Plessis,146.1 km/h,short length,on leg stump.
7.5,4,J Archer,F du Plessis,147.3 km/h,full length,outside off stump.
7.4,W,J Archer,A Markram,143.7 km/h,short length,outside off stump.
7.3,4,J Archer,A Markram,148.0 km/h,good length,just outside off stump.
7.2,1,J Archer,Q de Kock,140.2 km/h,short length,on middle stump.
7.1,0,J Archer,Q de Kock,142.0 km/h,short length,on middle stump.
6.6,0,C Woakes,A Markram,135.5 km/h,short length,on middle stump.
6.5,4,C Woakes,A Markram,137.7 km/h,good length,just outside off stump.
6.4,0,C Woakes,A Markram,137.7 km/h,short length,outside off stump.
6.3,0,C Woakes,A Markram,137.0 km/h,good length,just outside off stump.
6.2,0,C Woakes,A Markram,137.8 km/h,good length,just outside off stump.
6.1,1,C Woakes,Q de Kock,133.8 km/h,short length,on middle stump.
5.6,0,J Archer,A Markram,149.7 km/h,short length,on middle stump.
5.5,1,J Archer,Q de Kock,144.6 km/h,good length,just outside off stump.
5.4,0,J Archer,Q de Kock,145.9 km/h,short length,outside off stump.
5.3,1,J Archer,A Markram,140.4 km/h,good length,just outside off stump.
5.2,2,J Archer,A Markram,144.7 km/h,full length,just outside off stump.
5.1,0,J Archer,A Markram,139.5 km/h,short length,outside off stump.
4.6,0,C Woakes,Q de Kock,137.2 km/h,full length,on off stump.
4.5,4,C Woakes,Q de Kock,133.5 km/h,short length,just outside off stump.
4.4,0,C Woakes,Q de Kock,137.6 km/h,good length,just outside off stump.
4.3,4,C Woakes,Q de Kock,118.9 km/h,short length,outside off stump.
4.2,0,C Woakes,Q de Kock,133.6 km/h,short length,going down leg.
4.1,0,C Woakes,Q de Kock,134.7 km/h,good length,just outside off stump.
3.6,0,J Archer,A Markram,151.5 km/h,full length,outside off stump.
3.5,0,J Archer,H Amla,144.8 km/h,short length,on middle stump.
3.4,0,J Archer,H Amla,123.3 km/h,full length,on middle stump.
3.3,0,J Archer,H Amla,142.3 km/h,good length,on middle stump.
3.2,4,J Archer,H Amla,144.5 km/h,short length,just outside off stump.
3.1,0,J Archer,H Amla,149.8 km/h,good length,just outside off stump.
2.6,0,C Woakes,Q de Kock,134.1 km/h,good length,just outside off stump.
2.5,2,C Woakes,Q de Kock,137.7 km/h,full length,on leg stump.
2.4,4,C Woakes,Q de Kock,120.8 km/h,short length,outside off stump.
2.3,0,C Woakes,Q de Kock,135.0 km/h,good length,on middle stump.
2.2,0,C Woakes,Q de Kock,136.0 km/h,good length,just outside off stump.
2.1,0,C Woakes,Q de Kock,133.0 km/h,short length,outside off stump.
