,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role
15608,1,2.2,2,2,False,False,True,0,0,0,0,0,7,1,0,2,14,97,2,0,9,73,1,15,0
15609,1,2.3,2,4,False,False,False,0,0,0,0,0,7,2,12,2,14,114,2,1,0,73,1,15,0
15610,1,2.4,2,4,True,False,False,0,0,0,0,4,7,2,0,2,14,114,2,1,0,73,1,15,0
15611,1,2.5,2,2,False,False,False,0,0,0,0,0,11,2,12,2,14,114,2,1,0,73,1,15,0
15612,1,2.6,1,4,False,False,False,0,0,0,0,0,11,2,4,2,14,114,2,1,0,73,1,15,0
15613,1,19.1,4,0,False,False,False,0,0,1,0,1,153,5,18,2,14,114,2,1,0,54,1,8,3
15614,1,19.1,2,1,False,False,False,0,0,0,0,1,154,5,16,2,14,114,2,1,0,54,1,8,3
15615,1,19.2,0,3,False,True,False,0,0,0,0,6,155,5,22,2,14,216,2,0,4,54,1,8,3
15616,1,19.3,0,4,False,False,False,0,0,0,0,1,161,5,16,2,14,216,2,0,4,54,1,8,3
15617,1,19.4,2,2,False,False,True,0,0,0,0,0,162,5,16,2,14,114,2,1,0,54,1,8,3
15618,1,19.5,2,4,False,False,True,0,0,0,0,1,162,6,16,2,14,138,2,1,3,54,1,8,3
15619,1,19.6,2,1,True,False,False,0,0,0,0,4,163,7,16,2,14,353,2,1,3,54,1,8,3
15620,1,3.1,2,4,False,False,False,0,0,0,0,0,11,2,12,2,14,179,2,1,7,53,1,13,3
15621,1,3.2,2,2,False,False,False,0,0,0,0,0,11,2,6,2,14,179,2,1,7,53,1,13,3
15622,1,3.3,2,4,True,False,False,0,0,0,0,4,11,2,11,2,14,179,2,1,7,53,1,13,3
15623,1,3.4,2,4,False,False,False,0,0,0,0,0,15,2,12,2,14,179,2,1,7,53,1,13,3
15624,1,3.5,2,0,False,False,False,0,0,0,0,0,15,2,12,2,14,179,2,1,7,53,1,13,3
15625,1,3.6,2,2,False,False,True,0,0,0,0,0,15,2,0,2,14,179,2,1,7,53,1,13,3
15626,1,4.1,2,4,False,False,False,0,0,0,0,0,15,3,12,2,14,114,2,1,0,148,1,15,3
15627,1,4.2,1,0,False,False,False,0,0,0,0,1,15,3,8,2,14,114,2,1,0,148,1,15,3
15628,1,4.3,1,0,False,False,False,0,0,0,0,1,16,3,8,2,14,93,2,1,2,148,1,15,3
15629,1,4.4,1,2,False,False,False,0,0,0,0,1,17,3,8,2,14,114,2,1,0,148,1,15,3
15630,1,4.5,2,0,False,False,False,0,0,0,0,0,18,3,4,2,14,93,2,1,2,148,1,15,3
15631,1,4.6,1,4,False,False,False,0,0,0,0,1,18,3,4,2,14,93,2,1,2,148,1,15,3
15632,1,5.1,1,4,False,False,False,0,0,0,0,1,19,3,4,2,14,93,2,1,2,53,1,13,3
15633,1,5.2,2,2,True,False,False,0,0,0,0,4,20,3,18,2,14,114,2,1,0,53,1,13,3
15634,1,5.3,2,2,False,False,False,0,0,0,0,0,24,3,18,2,14,114,2,1,0,53,1,13,3
15635,1,5.4,1,2,False,False,False,0,0,0,0,0,24,3,4,2,14,114,2,1,0,53,1,13,3
15636,1,5.5,2,2,False,False,False,0,0,0,0,0,24,3,12,2,14,114,2,1,0,53,1,13,3
15637,1,5.6,2,0,False,False,False,0,0,0,0,1,24,3,8,2,14,114,2,1,0,53,1,13,3
15638,1,6.1,2,2,False,False,False,0,0,0,0,0,25,3,12,2,14,114,2,1,0,202,0,6,0
15639,1,6.2,2,2,False,False,False,0,0,0,0,1,25,3,8,2,14,114,2,1,0,202,0,6,0
15640,1,6.3,2,2,False,False,False,0,0,0,0,2,26,3,15,2,14,93,2,1,2,202,0,6,0
15641,1,6.4,2,2,False,False,False,0,0,0,0,1,28,3,12,2,14,93,2,1,2,202,0,6,0
15642,1,6.5,1,0,False,False,False,0,0,0,0,1,29,3,8,2,14,114,2,1,0,202,0,6,0
15643,1,6.6,2,4,False,False,False,0,0,0,0,0,30,3,1,2,14,93,2,1,2,202,0,6,0
15644,1,7.1,1,3,True,False,False,0,0,0,0,4,30,3,11,2,14,114,2,1,0,54,1,8,3
15645,1,7.2,2,4,False,False,False,0,0,0,0,1,34,3,12,2,14,114,2,1,0,54,1,8,3
15646,1,7.3,2,2,False,False,False,0,0,0,0,0,35,3,20,2,14,93,2,1,2,54,1,8,3
15647,1,7.4,2,4,False,False,False,0,0,0,1,2,35,3,11,2,14,93,2,1,2,54,1,8,3
15648,1,7.4,2,4,False,False,False,0,0,0,0,2,37,3,16,2,14,114,2,1,0,54,1,8,3
15649,1,7.5,0,2,False,False,False,0,0,1,0,1,39,3,4,2,14,114,2,1,0,54,1,8,3
15650,1,7.5,2,4,False,False,False,0,0,0,0,1,40,3,4,2,14,114,2,1,0,54,1,8,3
15651,1,7.6,2,2,False,False,False,0,0,0,0,1,41,3,16,2,14,93,2,1,2,54,1,8,3
15652,1,8.1,1,2,False,False,False,0,0,0,0,0,42,3,4,2,14,93,2,1,2,202,0,6,0
15653,1,8.2,2,4,False,False,False,0,0,0,0,1,42,3,11,2,14,93,2,1,2,202,0,6,0
15654,1,8.3,1,4,False,False,False,0,0,0,0,0,43,3,4,2,14,114,2,1,0,202,0,6,0
15655,1,8.4,2,4,False,False,False,0,0,0,0,1,43,3,8,2,14,114,2,1,0,202,0,6,0
15656,1,8.5,2,4,False,False,False,0,0,0,0,1,44,3,11,2,14,93,2,1,2,202,0,6,0
